Dataset,Model,ML Accuracy,FOLD-SE Accuracy,Hybrid Accuracy,ML Precision,FOLD-SE Precision,Hybrid Precision,ML Recall,FOLD-SE Recall,Hybrid Recall,ML F1 Score,FOLD-SE F1 Score,Hybrid F1 Score,ML Accuracy Std,FOLD-SE Accuracy Std,Hybrid Accuracy Std,ML Precision Std,FOLD-SE Precision Std,Hybrid Precision Std,ML Recall Std,FOLD-SE Recall Std,Hybrid Recall Std,ML F1 Score Std,FOLD-SE F1 Score Std,Hybrid F1 Score Std
kidney,FOLD-SE Pure,,0.99,,,0.9979591836734694,,,0.986,,,0.9918779633065347,,,0.014191155304938658,,,0.0064536278778946545,,,0.018973665961010296,,,0.01151624700554202,
kidney,KNN,0.92875,,0.9662499999999999,0.9703814023128384,,0.9857381782500234,0.914,,0.96,0.9406240582766326,,0.9724315212396476,0.036348047479273976,,0.025718832270018286,0.01764409067279212,,0.016831310036048767,0.05420127099780758,,0.03399346342395189,0.03134331340269967,,0.021262420376301338
kidney,Neural Network,0.9574999999999999,,0.97,0.9575155771710394,,0.967034946925069,0.976,,0.986,0.9664273558577576,,0.9762935463163679,0.020581815058714096,,0.015811388300841896,0.02662268122521044,,0.02027522376970192,0.01837873166945363,,0.013498971154211092,0.016259075535543854,,0.012479962716480626
kidney,Random Forest,0.9974999999999999,,1.0,0.9961538461538462,,1.0,1.0,,1.0,0.9980392156862745,,1.0,0.007905694150420958,,0.0,0.012162606385262993,,0.0,0.0,,0.0,0.006200544431702721,,0.0
kidney,SVM,0.9349999999999999,,0.95,0.9613846112913251,,0.9640161979685491,0.9339999999999999,,0.9560000000000001,0.9470843577741455,,0.959790006309699,0.021081851067789207,,0.01767766952966368,0.019843240354449794,,0.01795857080287171,0.03272783388968953,,0.02270584848790186,0.0176633067149014,,0.014415651671739435
student_depression,FOLD-SE Pure,,0.8173624798423221,,,0.8394330538973541,,,0.8509791921664627,,,0.8451263186456849,,,0.005357466149515789,,,0.007908652680071508,,,0.006968866116906864,,,0.004212144260481441,
student_depression,KNN,0.7517649166815983,,0.8088335423759183,0.7658351293474029,,0.8137230672029994,0.8298347613219095,,0.873531211750306,0.7965321089961848,,0.8425540093232877,0.0043368150204493566,,0.003944162383008576,0.004070307506721209,,0.004470008534511528,0.0071841755127956064,,0.005036425969771812,0.0038679706923009675,,0.003186743756884573
student_depression,Neural Network,0.8409604013617631,,0.8406916323239562,0.846193042110756,,0.8478168945266805,0.8921970624235007,,0.8884944920440636,0.8678725521554449,,0.8671947096200675,0.005355568151274063,,0.00399984447204708,0.024109640125600764,,0.019485789818847608,0.028833511378337853,,0.024197766695542734,0.0031860927378722917,,0.0029424730851119597
student_depression,Random Forest,0.8385235620856477,,0.8355312667980648,0.8513539008107749,,0.8485722827729912,0.8774785801713586,,0.8753671970624236,0.8642064105985685,,0.8617457844466216,0.0032382534889724614,,0.00374085040696256,0.0047276176618767625,,0.004552934484659339,0.003655500485050459,,0.0054434509550073985,0.002488922026209664,,0.003163891383138965
student_depression,SVM,0.8429492922415338,,0.8444006450456907,0.8475949199757498,,0.8549898313977341,0.8922582619339046,,0.8842717258261933,0.8693401830113681,,0.8693738408389129,0.0025651103471889696,,0.0030032370536337677,0.0037727017784414253,,0.0038363642647108336,0.004519035832092425,,0.0042493403592261956,0.002111311441693706,,0.002498089526603983
