Dataset,Model,ML Accuracy,FOLD-SE Accuracy,Hybrid Accuracy,ML Precision,FOLD-SE Precision,Hybrid Precision,ML Recall,FOLD-SE Recall,Hybrid Recall,ML F1 Score,FOLD-SE F1 Score,Hybrid F1 Score,ML Accuracy Std,FOLD-SE Accuracy Std,Hybrid Accuracy Std,ML Precision Std,FOLD-SE Precision Std,Hybrid Precision Std,ML Recall Std,FOLD-SE Recall Std,Hybrid Recall Std,ML F1 Score Std,FOLD-SE F1 Score Std,Hybrid F1 Score Std
kidney,FOLD-SE Pure,,0.985,,,0.9938723404255319,,,0.9811733365664846,,,0.9871608129058644,,,0.017480147469502553,,,0.013651257198420594,,,0.030528433181912312,,,0.015277883149775571,
kidney,KNN,0.89125,,0.89125,0.9679110334110334,,0.9679110334110334,0.8481655955403504,,0.8481655955403504,0.9036212133091484,,0.9036212133091484,0.02128673295740804,,0.02128673295740804,0.02116789239721422,,0.02116789239721422,0.0345588049735639,,0.0345588049735639,0.020730157803214768,,0.020730157803214768
kidney,Neural Network,0.9525,,0.96,0.9587514593023382,,0.9651518461495335,0.9626510562952856,,0.968921959305319,0.9605164147775287,,0.9668499589478851,0.026874192494328507,,0.021889875894272843,0.01866804424107494,,0.018238820934774917,0.03168167023349566,,0.025841157022552377,0.022039721300221197,,0.0174184717591127
kidney,Random Forest,1.0,,0.99875,1.0,,1.0,1.0,,0.9980392156862745,1.0,,0.9990099009900991,0.0,,0.003952847075210461,0.0,,0.0,0.0,,0.006200544431702721,0.0,,0.003130967980364726
kidney,SVM,0.91375,,0.9425000000000001,0.9583805844462352,,0.9643773392194348,0.8965664238417222,,0.9397276244581727,0.9260227076803357,,0.9516940646439472,0.02598744354918774,,0.019720265943665355,0.01683505827658885,,0.02034219025481097,0.038847716561572355,,0.024367550470696293,0.023576127683230124,,0.017405819578568817
student_depression,FOLD-SE Pure,,0.8177745923669594,,,0.8382535758189731,,,0.8541118893525763,,,0.8460723380651857,,,0.005856847958970929,,,0.008242953218701245,,,0.00857784117275024,,,0.006015118667870498,
student_depression,KNN,0.7529295825120946,,0.7529295825120946,0.7676515699702144,,0.7676515699702144,0.829968125999893,,0.829968125999893,0.7975661218323764,,0.7975661218323764,0.004913167858470185,,0.004913167858470185,0.008059611893996317,,0.008059611893996317,0.005742380794503462,,0.005742380794503462,0.005082349964956409,,0.005082349964956409
student_depression,Neural Network,0.8438093531625157,,0.8418562981544525,0.8549203532041115,,0.8533973380217603,0.8847237995509978,,0.8823767949591022,0.8691210602228034,,0.8674320315050654,0.004510869759602306,,0.004020082789916259,0.01852560117202084,,0.013706478193697937,0.023998550705427436,,0.016004514474463653,0.004745676908542471,,0.0038323822517848534
student_depression,Random Forest,0.8404407812220033,,0.8361404766170937,0.8550919416800404,,0.8509106394918057,0.8764868819198129,,0.873734729049227,0.8656428676922022,,0.862150509611127,0.004736311476538072,,0.0036713554700120365,0.0061971611956455515,,0.006744211400645003,0.005226252832334192,,0.004139297801062606,0.004388874056050585,,0.0034101305695318105
student_depression,SVM,0.8430209639849489,,0.8467299767066834,0.8495977432968453,,0.858002412168972,0.8898688188765655,,0.8851579034148358,0.8692518554466142,,0.8713566985015998,0.004688773817011184,,0.005544725443423429,0.005974044557469172,,0.007062339928222311,0.005939609839170533,,0.004857857501299128,0.004562628701508295,,0.00508126658173568
